Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Minds Desire	4UU	Sorcery	Shuffle your library. Then exile the top card of your library. Until end of turn, you may play that card without paying its mana cost.\n Storm (When you cast this spell, copy it for each spell cast before it this turn.) (When you cast this spell, copy it for each spell cast before it this turn.)					
Surge of Brilliance	1U	Instant	Paradox — Draw a card for each spell you’ve cast this turn from anywhere other than your hand.\n Foretell 1U (During your turn, you may pay 2 and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)					
Heroic Intervention	1G	Instant	Permanents you control gain hexproof and indestructible until end of turn.	“Protecting my pack is my purpose” -Nidalee				
Nylea's Intervention	XGG	Sorcery	Choose one —\n • Search your library for up to X land cards, reveal them, put them into your hand, then shuffle.\n • Nylea’s Intervention deals twice X damage to each creature with flying.	“I will always be my mother’s cub...”        				
The Axiomata	WU	Creature — Human Wizard 	At the beginning of each endstep, gain X life, where X is the amount of spells you have cast this turn, If X is three or greater draw a card.	“All in good time.”                               — Zilean	1	3		
Clothed in Power	1WU	Enchantment — Aura 	Vanishing 2 (This permanent enters with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\n At the beginning of your upkeep, make a copy of enchanted creature except it has vanishing 2.					
Time Wipe	2WWU	Sorcery	Return a creature you control to its owner’s hand, then destroy all creatures.	“The way is always the same.”            — Zilean				
Frantic Search	2U	Instant	Draw two cards, then discard two cards. Untap up to three lands.					
Titanic Growth	1G	Instant	Target creature gets +4/+4 until end of turn.					
Baalkux, Daarkin Staff	BG	Legendary Artifact	Baalkux, Daarkin Staff enters the battlefield tapped.\n Pay 1 life T: Add B or G\n 3BG, Collect evidence 50: Exile Baalkux return it to the battlefield tapped under its owners control transformed with a stun counter on it. activate only as a sorcery. (To collect evidence 50, exile cards with total mana value 50 or greater from your graveyard.)\n Baalkux, Daarkin Staff can be your commander					Baalkux, Inevitable End		Legendary Creature — Darkin Treefolk 	Indestructible\n Pay 13 life T: Add thirteen mana of any combination of colors.\n Afflict 13 (Whenever that creature becomes blocked, defending player loses 13 life.) (Whenever that creature becomes blocked, defending player loses 13 life.)\n At the beginning of each endstep, if an opponent has lost 13 or more life this turn that player loses the game.		13	13		
Pix	2UB	Legendary Creature — Faerie Rogue 	Whenever you cast a spell, you may draw cards equal to its mana value, if you do, you lose that much life and each opponent may make a copy of it.		2	2		
Split the Mast	1GG	Instant	Destroy target artifact or enchantment. make a number of 1/1 blue tentacle tokens equal to the destroyed permanents mana value.\n Prevent all damage that would be dealt to tentacles you control until end of turn.					
Buhru Cultist	GU	Creature — Human Cleric 	Whenever one or more creature cards leave your graveyard create a 1/1 blue tentacle spirit token.		2	2		
Boundless Horizon	1GU	Sorcery	Choose one. You may tap an untapped vehicle you control, if you do, choose another. You may choose the same option more than once —\n You and target opponent draw a card and make a treasure.\n Search your library for a basic land card put that card onto the battlefield tapped.\n Destroy target artifact or enchantment.					
Boxtopus	UR	Creature	If Boxtopus would deal damage to a creature or planeswalker, it deals octuple that damage instead.	“Its only going to take 8 punches.”				
Fortune Croaker	1UB	Creature — Frog Shaman 	When Fortune Croaker enters the battlefield, create a 1/1 blue salamander token with “This creature can’t be blocked.”\n T, Sacrifice a creature: Surveil 3, if that creature dealt combat damage to a player this turn draw a card.		1	3		
Idol of Nagakabouros	2GU	Artifact	T: Add one mana of any one color, create a 1/1 Blue tentacle creature token.\n T: Choose a color. add one mana of that color for each tentacles you control.					
Harsh Lesson	1BGU	Sorcery	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for 1 or one mana of that creature’s color.)\n For each creature on the battlefield, create that many tentacle creature tokens. Tentacles you control gain lifesteal and “Tap this creature: It deals damage equal to its power to any target”					
Mutating Vessel	3UB	Artifact — Vehicle 	Vehicles you control are horrors in addition to their other types\n Whenever a horror creature you control attacks exile the top card of defending players library you may play that card as long as you dealt damage with a horror this turn		4	5		
Stacked Deck	WU	Sorcery	Reveal the top card of your library and put that card in your hand, if that card is not colorless or does not share a color with any other cards revealed this way, repeat this process.					
Monkey's Treasure	2	Artifact	T, Put a Wish counter on Monkey’s Treasure, target opponent gains control of it: Add X mana of any one color where X is the number of wish counters on Monkey’s Treasure.					
High Market		Land	T: Add C.\n T, Sacrifice a creature: You gain 1 life.					
Petricite Broadwing	1W	Artifact Creature — Golem Bird 	Flying, defender, ward 2 (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2.)\n Tithe — As long as an opponent has payed a cost or a spell an opponent controls has been countered, this creature can attack as though it did not have defender.      		3	3		
Petricite Stag	2WW	Artifact Creature — Golem Deer 	Ward 3 (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 3.)\n While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose to target this creature if able.		3	3		
Demacian Manifest	2WU	Sorcery	Choose two, you may reveal two white cards from your hand. If you do, choose another —\n • Detain each nonland permanent with mana value 3 or less.\n • Return two target detained permanents to their owners hands.\n • return a permanent card with mana value 3 or less from your graveyard to the battlefield.					
Petricite Hound	2W	Artifact Creature — Golem Dog 	Defender, ward 2 (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2.)\n If another permanent you control becoming the target of a spell or ability would cause a triggered ability of a permanent you control, that ability triggers an additional time.          		3	3		
Ornn's Forge	1R	Legendary Enchantment — Landmark 	​				3	
Free From Ice	1GU	Snow Sorcery	Search your library for a creature card with mana value 5 or less, exile it with a number of encased counters equal to it’s mana cost.\n it gains “Whenever an opponent casts a spell remove you may remove a slumber counter then if there are no more slumber counters put this creature onto the battlefield”					
The Watchers	UB	Legendary Creature						
Underground Match Fixing	1B	Enchantment — Landmark 	​				3	
Champions Knuckles	2G	Artifact — Equipment 	When this Equipment enters, target creature you control fights another target creature you don’t control.\n Whenever a creature you control fights and wins, attach this Equipment to that creature and put a victory counter on this Equipment.\n Equipped creature gets +X/+X and “Whenever this creature wins a fight or deals combat damage to player, create X tapped Treasure tokens” Where X is the number of victory counters on this Equipment.\n Equip 0, this ability costs 1 more to activate per victory counter on this Equipment.					
Sanctified Scriptures	2G	Enchantment — Aura 	Enchant land\n When enchanted land is tapped for mana, its controller adds X additional mana of any combination of colors where X is the number of sagas you control.\n Enchanted land has “T: Copy target triggered ability from a saga source you control.”					
Alpha Strike	RGW	Sorcery	Exile target creature you control, deal damage equal to its power divided among any number of target creatures. Then return the exiled creature to the battlefield.					
Ionian Manifest	2GU	Sorcery	Choose two, you may return a land you control to your hand. If you do, choose another —\n • Search your library for up to 2 basic lands, reveal them and put them into your hand.\n • You may put a land from your hand onto the battlefield.\n • Draw a card for each land that entered the battlefield under your control this turn					
Mana Sentinel	1GU	Creature — Golem 	Whenever a player expends 3, Put a +1/+1 counter on blue sentinel.\n At the beginning of each player’s first main phase, that player adds X mana of any one color to their mana pool, where X is the number of +1/+1 counters on Mana Sentinel.					
Praa, The Darkin Fan	1GW	Legendary Enchantment — Aura 	Enchanted creature gains vigilance\n Whenever enchanted creature attacks create a a green and white dragon token with vigilance, flying and its size is equal to the enchanted creature. Then if you control 5 or more dragons unattach and transform Praa.    \n Praa, The Darkin Fan can be your commander. 					Praa, Breachwalker		Legendary Creature — Darkin Spirit Dragon 	Modified creatures you control get +1/+1 (Equipment, Auras you control, and counters are modifications.)\n Whenever you transform Praa, make nine nonlegendary copies of Praa, then distribute a flying counter, a first strike counter, a hexproof counter, a lifelink counter, a reach counter, a trample counter, a vigilance counter, an indestructible counter, a haste counter and a deathtouch counter evenly among darkins you control.		2	2		
Red Brambleback	RG	Creature						
Showstopper	2RG	Sorcery	Target creature you control fights another target creature you don’t control, whenever excess damage is dealt to the creature you don’t control your creature deals that much damage to that creatures controller and each other creature they control.					
Agrestal Pastures		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify 2GW (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add W or G. Activate this ability only if it’s a land.\n Enchanted land has “T: Add GW”\n Whenever enchanted land becomes tapped, create a 1/1 white monk creature token.					
Darkwood Retreat		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify 2BG (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add B or G. Activate this ability only if it’s a land.\n Enchanted land has “T: Add BG”\n Whenever enchanted land becomes tapped, mill two, then you may sacrifice this land. If you do, return up to one land card from among the milled cards from your graveyard to the battlefield tapped.					
Draconic Aerie		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify BR (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add B or R. Activate this ability only if it’s a land.\n Enchanted land has “T: Add B or R”\n Whenever enchanted land becomes tapped. target creature gets +1/+0 until end of turn.					
